Word embeddings reading completes and total number of words is:28565

Skip: 小心谨慎  谨慎小心 
Skip: 繁琐  烦琐 
Skip: 座椅  坐椅 
Skip: 枝桠  枝丫 
Skip: 辞藻  词藻 
Skip: 游泳池  泳池 
Skip: 普通百姓  普通老百姓 
Skip: 梦呓  呓语 
Skip: 裤兜  裤袋 
Skip: 窗户  窗子 
Skip: 猎犬  猎狗 
Skip: 父母  爸妈 
Skip: 午餐  午饭 
Skip: 察觉  觉察 
Skip: 说谎  撒谎 
Skip: 遛弯  遛弯儿 
Skip: 银灰色  银灰 
Skip: 倔强  倔犟 
Skip: 风姿  丰姿 
Skip: 奥运  奥运会 
Skip: 零售价  零售价格 
Skip: 男女老少  男女老幼 
Skip: 侮辱  污辱 
Skip: 想象  想像 
Skip: 唯有  惟有 
Skip: 虚无缥缈  虚无飘渺 
Skip: 这几天  这些天 
Skip: 销量  销售量 
Skip: 警察局  警局 
Skip: 衣衫  衣裳 
Skip: 做伴  作伴 
Skip: 环顾  环视 
Skip: 亏本  赔本 
Skip: 超出预期  超过预期 
Skip: 移到  移至 
Skip: 有些偏高  有点偏高 
Skip: 故技  故伎 
Skip: 汁液  汁水 
Skip: 兵士  士卒 
Skip: 红外  红外线 
Skip: 寻找  寻觅 
Skip: 捉弄  作弄 
Skip: 煮饭  烧饭 
Skip: 作秀  做秀 
Skip: 血红  血红色 
Skip: 有说服力  具有说服力 
Skip: 唯恐  惟恐 
Skip: 躲闪  闪躲 
Skip: 齐全  齐备 
Skip: 手电筒  电筒 
Skip: 外号  绰号 
Skip: 旅馆  旅店 
Skip: 窥视  窥探 
Skip: 缉拿  缉捕 
Skip: 屠杀  屠戮 
Skip: 悲鸣  哀鸣 
Skip: 战栗  颤栗 
Skip: 絮絮叨叨  絮叨 
Skip: 佐料  作料 
Skip: 百货店  百货商店 
Skip: 服侍  侍候 
Skip: 作孽  造孽 
Skip: 登陆舰  登陆艇 
Skip: 账单  帐单 
Skip: 效仿  仿效 
Skip: 唯独  惟独 
Skip: 东南西北  东西南北 
Skip: 办公楼  办公大楼 
